label,sentence,entity1,entity1_ix,entity2,entity2_ix,sentence_entity
Target,"In summary , our results indicate that crenolanib represents the next generation of FLT3 TKIs , one with a broader range",crenolanib,39,FLT3,84,"In summary , our results indicate that @entitya$ represents the next generation of @entityb$ TKIs , one with a broader range"
Target,"5A shows the affinity of His A8 - [ Lys B28 , Pro B29 ] -insulin analog ( ▴ ) , [ Lys B28 , Pro B29 ] -insulin ( ♦ , Humalog ® ) and wild-type human [ Asp B28 ] -insulin ( solid line ) for human insulin receptor . ",Humalog,117,insulin receptor,195,"5A shows the affinity of His A8 - [ Lys B28 , Pro B29 ] -insulin analog ( ▴ ) , [ Lys B28 , Pro B29 ] -insulin ( ♦ , @entitya$ ® ) and wild-type human [ Asp B28 ] -insulin ( solid line ) for human @entityb$ . "
Target,"The concentrations of the inhibitor tested for time-dependent inhibition with 20 μg/ml MAO-A was for quercetin and myricetin ( 7 . 50 μM ) , and phenelzine ( 0 . 600 μM ) . ",phenelzine,145,MAO-A,87,"The concentrations of the inhibitor tested for time-dependent inhibition with 20 μg/ml @entityb$ was for quercetin and myricetin ( 7 . 50 μM ) , and @entitya$ ( 0 . 600 μM ) . "
Target,"Monoclonal antibodies directed against CD38 ( daratumumab ) and SLAMF7 ( elotuzumab ) are already in the clinic , and several other antibodies directed against different plasma cell antigens are under evaluation . ",elotuzumab,73,SLAMF7,64,"Monoclonal antibodies directed against CD38 ( daratumumab ) and @entityb$ ( @entitya$ ) are already in the clinic , and several other antibodies directed against different plasma cell antigens are under evaluation . "
Target,"CD38 MAbs currently available or being developed for the treatment of MM include daratumumab , isatuximab , and MOR202 . ",daratumumab,81,CD38,0,"@entityb$ MAbs currently available or being developed for the treatment of MM include @entitya$ , isatuximab , and MOR202 . "
Target,"Acute inhibition of MAO A and B with tranylcypromine or phenelzine in human subjects does not result in significant aggressive personality changes , though occasional hypomania has been reported in patients with an underlying manic-depressive diathesis [ 62 ] . ",phenelzine,56,MAO A,20,"Acute inhibition of @entityb$ and B with tranylcypromine or @entitya$ in human subjects does not result in significant aggressive personality changes , though occasional hypomania has been reported in patients with an underlying manic-depressive diathesis [ 62 ] . "
Target,BMS-599626 has significant anti-tumor efficacy in multiple HER1 - and HER2-dependent,BMS-599626,0,HER1,59,@entitya$ has significant anti-tumor efficacy in multiple @entityb$ - and HER2-dependent
Target,"Also , in the case of lispro , growth-promoting activity in human mammary epithelial cells has been found to be correlated more with dissociation kinetics from the insulin receptor , which were shown to be identical with those of human",lispro,22,insulin receptor,164,"Also , in the case of @entitya$ , growth-promoting activity in human mammary epithelial cells has been found to be correlated more with dissociation kinetics from the @entityb$ , which were shown to be identical with those of human"
Target,"blood and bone marrow achieved in several patients in the first one to two cycles at this first dose level of PCM-075 , combined with significant reductions in PLK1 activity as measured by pTCTP levels , potentially suggest synergistic clinical activity with the combination therapy . ",PCM-075,110,PLK1,160,"blood and bone marrow achieved in several patients in the first one to two cycles at this first dose level of @entitya$ , combined with significant reductions in @entityb$ activity as measured by pTCTP levels , potentially suggest synergistic clinical activity with the combination therapy . "
Target,"However , we were unable to detect any VAMP2 cleavage under conditions in which botulinum neurotoxin type B proteolyzes its substrate . ",botulinum neurotoxin type B,80,VAMP2,39,"However , we were unable to detect any @entityb$ cleavage under conditions in which @entitya$ proteolyzes its substrate . "
Target," ( e . g . , acalabrutinib ) , a PARP inhibitor ( e . g . , niraparib ) , an IDO inhibitor ( e . g . , epacadostat ) , an immunoconjugate targeting FOLR1 ( e . g . , mirvetuximab soravtansine ) , a B7-H3 inhibitor ( e . g . , enoblituzumab ) , a hypomethylating agent ( e . g . , decitabine or azacitidine ) , or any combination thereof . ",enoblituzumab,226,B7-H3,198," ( e . g . , acalabrutinib ) , a PARP inhibitor ( e . g . , niraparib ) , an IDO inhibitor ( e . g . , epacadostat ) , an immunoconjugate targeting FOLR1 ( e . g . , mirvetuximab soravtansine ) , a @entityb$ inhibitor ( e . g . , @entitya$ ) , a hypomethylating agent ( e . g . , decitabine or azacitidine ) , or any combination thereof . "
Target,4 Ofatumumab mediated significantly better tumor killing than rituximab at lower CD20 monoclonal antibody concentrations ( 0 . 01 μg/mL ) ( Online Supplementary Figure S1E ) ( ** P <0 . 01 ; ANOVA ) . ,Ofatumumab,2,CD20,81,4 @entitya$ mediated significantly better tumor killing than rituximab at lower @entityb$ monoclonal antibody concentrations ( 0 . 01 μg/mL ) ( Online Supplementary Figure S1E ) ( ** P <0 . 01 ; ANOVA ) . 
Target,https : //clinicaltrials . gov/show/NCT01245634 BP25601 NCT01245634 A Study of RO4905417 in Patients Undergoing Coronary Artery Bypass Graft ( CABG ) Surgery Study Assessing 20 mg/kg Dose of the Recombinant Human Monoclonal Antibody Against P-selectin in Patients Undergoing Coronary Artery Bypass Graft ( CABG ) Surgery,RO4905417,79,P-selectin,241,https : //clinicaltrials . gov/show/NCT01245634 BP25601 NCT01245634 A Study of @entitya$ in Patients Undergoing Coronary Artery Bypass Graft ( CABG ) Surgery Study Assessing 20 mg/kg Dose of the Recombinant Human Monoclonal Antibody Against @entityb$ in Patients Undergoing Coronary Artery Bypass Graft ( CABG ) Surgery
Target,"In in vitro studies using renal cell carcinoma cell lines , temsirolimus inhibited the activity of mTOR and resulted in reduced levels of the hypoxia-inducible factors HIF-1 and HIF-2 alpha , and the vascular endothelial growth",temsirolimus,60,mTOR,99,"In in vitro studies using renal cell carcinoma cell lines , @entitya$ inhibited the activity of @entityb$ and resulted in reduced levels of the hypoxia-inducible factors HIF-1 and HIF-2 alpha , and the vascular endothelial growth"
Target,"Similarly , davalintide , an amylin /salmon calcitonin analogue dissociated very slowly from the amylin receptor on isolated membranes , whereas amylin was fully reversible [ 27 ] . ",davalintide,12,amylin,29,"Similarly , @entitya$ , an @entityb$ /salmon calcitonin analogue dissociated very slowly from the amylin receptor on isolated membranes , whereas amylin was fully reversible [ 27 ] . "
Target," [ 14C ] uric acid uptake at estimated intracellula r concentrations of 44 µM . This experiment suggests that , in vivo , RDEA594 may act both intracellular ly ( trans-inhibition ) and extracellularly ( cis-inhibition ) to inhibit URAT1 function . ",RDEA594,122,URAT1,231," [ 14C ] uric acid uptake at estimated intracellula r concentrations of 44 µM . This experiment suggests that , in vivo , @entitya$ may act both intracellular ly ( trans-inhibition ) and extracellularly ( cis-inhibition ) to inhibit @entityb$ function . "
Target,"The pro-angiogenic effects of T 4 and T 3 ( see Davis et al . , Circ Res 2004 ; 94 : 1500-1513 and Mousa et al . , Angiogenesis 2008 ; 11 : 183-190 ) are mediated by the integrin thyroid hormone receptor , as are hormonal effects on",T 4,30,thyroid hormone receptor,179,"The pro-angiogenic effects of @entitya$ and T 3 ( see Davis et al . , Circ Res 2004 ; 94 : 1500-1513 and Mousa et al . , Angiogenesis 2008 ; 11 : 183-190 ) are mediated by the integrin @entityb$ , as are hormonal effects on"
Target,"Migalastat , an oral pharmacological chaperone , stabilizes specific mutant forms of α-galactosidase , to facilitate enzyme trafficking to lysosomes [ 27 – 29 ] . ",Migalastat,0,α-galactosidase,85,"@entitya$ , an oral pharmacological chaperone , stabilizes specific mutant forms of @entityb$ , to facilitate enzyme trafficking to lysosomes [ 27 – 29 ] . "
Target,"22 Rituximab and ofatumumab draw CD20 into lipids rafts and hence induce CDC ( type 1 mAb ) , whereas obinutuzumab and tositumumab type 2 mAb do not . ",ofatumumab,17,CD20,33,"22 Rituximab and @entitya$ draw @entityb$ into lipids rafts and hence induce CDC ( type 1 mAb ) , whereas obinutuzumab and tositumumab type 2 mAb do not . "
Target,"of the EP compounds showed that EP compound activation of antithrombin , as with fondaparinux or idraparinux activation , alters the specificity profile of antithrombin to favor inhibition of factor Xa over all other proteases . ",idraparinux,97,factor Xa,192,"of the EP compounds showed that EP compound activation of antithrombin , as with fondaparinux or @entitya$ activation , alters the specificity profile of antithrombin to favor inhibition of @entityb$ over all other proteases . "
Target,"Indeed , some have already been successfully commercialized as drugs : ( a ) enfuvirtide ( 36 amino acids ) is an HIV fusion inhibitor [ 57 ] ; ( b ) bivalirudin ( 20 amino acids ) is a thrombin inhibitor/anti-coagulate [ 58 ] . ",bivalirudin,150,thrombin,186,"Indeed , some have already been successfully commercialized as drugs : ( a ) enfuvirtide ( 36 amino acids ) is an HIV fusion inhibitor [ 57 ] ; ( b ) @entitya$ ( 20 amino acids ) is a @entityb$ inhibitor/anti-coagulate [ 58 ] . "
Target,"In summary , we believe that EHP-101 is a promising product candidate for SSc treatment by ameliorating fibrosis , inflammation , fibroblast migration , and collagen synthesis through PPARγ and CB2 receptors and by providing vascular protection and angiogenesis through",EHP-101,29,PPARγ,184,"In summary , we believe that @entitya$ is a promising product candidate for SSc treatment by ameliorating fibrosis , inflammation , fibroblast migration , and collagen synthesis through @entityb$ and CB2 receptors and by providing vascular protection and angiogenesis through"
Target,BMS-599626 was also evaluated in a competitive binding assay and was found to have no significant affinity for any one of a panel of 110 protein kinases other than HER1 ( data not shown ; ref . ,BMS-599626,0,HER1,164,@entitya$ was also evaluated in a competitive binding assay and was found to have no significant affinity for any one of a panel of 110 protein kinases other than @entityb$ ( data not shown ; ref . 
Target,"In preclinical models investigating the efficacy of contemporary AR -targeted therapies such as abiraterone , enzalutamide , galeterone , apalutamide and others , certain AR splice variants such as AR -V7 have been associated with altered or diminished anti-cancer effect [ 17 ] , [ 18 ] . ",galeterone,125,AR,65,"In preclinical models investigating the efficacy of contemporary @entityb$ -targeted therapies such as abiraterone , enzalutamide , @entitya$ , apalutamide and others , certain AR splice variants such as AR -V7 have been associated with altered or diminished anti-cancer effect [ 17 ] , [ 18 ] . "
Target,"Therefore , the affinity to the insulin receptor of insulin lispro is similar",insulin lispro,52,insulin receptor,32,"Therefore , the affinity to the @entityb$ of @entitya$ is similar"
Target,"We believe that the lack of cross-reactivity with normal human tissue , specifically within the brain , and the localized binding of omburtamab to the membranes of cancer cells that express B7-H3 , makes omburtamab",omburtamab,133,B7-H3,190,"We believe that the lack of cross-reactivity with normal human tissue , specifically within the brain , and the localized binding of @entitya$ to the membranes of cancer cells that express @entityb$ , makes omburtamab"
Target,"Moreover , more specific selective mineralocorticoid receptor antagonists , second- and third-generation potassium-sparing diuretic reagents , such as eplerenone [ 56 ] and esaxerenone [ 57 ] , have more limited effects on survivin expression than the first-generation , ",esaxerenone,173,mineralocorticoid receptor,35,"Moreover , more specific selective @entityb$ antagonists , second- and third-generation potassium-sparing diuretic reagents , such as eplerenone [ 56 ] and @entitya$ [ 57 ] , have more limited effects on survivin expression than the first-generation , "
Target,"Now , Novartis’ fevipiprant looks like it may join the list of failed DP2 drugs . ",fevipiprant,16,DP2,70,"Now , Novartis’ @entitya$ looks like it may join the list of failed @entityb$ drugs . "
Target,Inhibition of either NOX2 with GSK2795039 or NOX4 with GKT137831 in microglia prior to co-culture reduced the cellular toxicity among PC12s as evidenced by fewer apoptotic cells . ,GKT137831,55,NOX4,45,Inhibition of either NOX2 with GSK2795039 or @entityb$ with @entitya$ in microglia prior to co-culture reduced the cellular toxicity among PC12s as evidenced by fewer apoptotic cells . 
Target,Pharmacological inhibition of the MEK /ERK pathway by AZD6244 enhanced the antitumor effect of sorafenib in orthotopic and ectopic models of HCC . ,AZD6244,54,MEK,34,Pharmacological inhibition of the @entityb$ /ERK pathway by @entitya$ enhanced the antitumor effect of sorafenib in orthotopic and ectopic models of HCC . 
Target,"As a potassium channel opener , retigabine , an anticonvulsant substance , satisfies these criteria . ",retigabine,32,potassium channel,5,"As a @entityb$ opener , @entitya$ , an anticonvulsant substance , satisfies these criteria . "
Target,"We also investigated the effects of pioglitazone , a peroxisome proliferator-activated receptor γ-activating drug , in tumor-bearing mouse models . ",pioglitazone,36,peroxisome proliferator-activated receptor,53,"We also investigated the effects of @entitya$ , a @entityb$ γ-activating drug , in tumor-bearing mouse models . "
