entity1,entity2,sentence,is_sentence_valid,doc_id,doc_title,doc_url,doc_source,date_published,entity1_input,entity2_input,sentence_entity,vec,old_sentence
conatumumab,dr4,"Activators of death receptor pathway include TRAIL, antibodies or other agents that target TRAIL or death receptors (e.g., DR4 and DR5) such as Apomab, conatumumab, ETR2-ST01, GDC0145 (lexatumumab).",True,47573249,APOPTOSIS-INDUCING AGENTS FOR THE TREATMENT OF CANCER AND IMMUNE AND AUTOIMMUNE DISEASES,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220200345717%22.PGNR.&OS=DN/20200345717&RS=DN/20200345717,patent_filed,1604534400.0,conatumumab,DR4,"Activators of death receptor pathway include TRAIL, antibodies or other agents that target TRAIL or death receptors (e.g., @entityb$ and DR5) such as Apomab, @entitya$ , ETR2-ST01, GDC0145 (lexatumumab).","[-0.14202654 -0.2041919  -0.13185593 ...  0.21025394  0.1596445
  0.5774808 ]",12
ly3009120,braf,"regression at 40 mg/kg, po bid administered for 15 days Title: Discovery of 1-(3,3-dimethylbutyl)-3-(2-fluoro-4-methyl-5-(7-methyl-2-(methylamino)pyrido[2,3-d]pyrimidin-6-yl)phenyl)urea (LY3009120) as a pan-RAF inhibitor with minimal paradoxical activation and activity against BRAF or RAS mutant tumor cells.",True,24481867,"Antitumor activity against human HCT116 cells expressing KRAS mutant xenografted in athymic nu/nu mouse assessed as tumor regression at 40 mg/kg, po bid administered for 15 days",https://pubchem.ncbi.nlm.nih.gov/bioassay/1226917,bioassay,,LY3009120,BRaf,"regression at 40 mg/kg, po bid administered for 15 days Title: Discovery of 1-(3,3-dimethylbutyl)-3-(2-fluoro-4-methyl-5-(7-methyl-2-(methylamino)pyrido[2,3-d]pyrimidin-6-yl)phenyl)urea ( @entitya$ ) as a pan-RAF inhibitor with minimal paradoxical activation and activity against @entityb$ or RAS mutant tumor cells.","[ 0.601335    0.0377707   1.075074   ...  0.11250949 -0.28353855
  0.3603716 ]",12
trifluoperazine,tfp,"the action of CaM has been to use membrane-permeant pharmacological antagonists such as calmidazolium, W-7 [ N -(6-aminohexyl)-5-chloro-1-naphthalenesulphonamide] and TFP (trifluoperazine).",True,112113514,Calmidazolium and arachidonate activate a calcium entry pathway that is distinct from store-operated calcium influx in HeLa cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1133905/,pmc,1090886400.0,trifluoperazine,TFP,"the action of CaM has been to use membrane-permeant pharmacological antagonists such as calmidazolium, W-7 [ N -(6-aminohexyl)-5-chloro-1-naphthalenesulphonamide] and @entityb$ ( @entitya$ ).","[-0.4255197  -0.38316667  0.176058   ...  0.3394361  -0.83532786
  0.5859631 ]",44
digoxin,ace,"METRICS Age range Measurement Source(s) HEDIS applies to Cardiovascular ≥ 18 years Annual monitoring for patients on persistent medications (ACE/ARBs, diuretics, digoxin) ORDER a lab panel containing serum potassium and creatinine (e.g., BMP or CMP) annually for patients on ACE/ARBs and/or diuretics.",True,75278279,Preparing for Value-Based Payment: Five Essential Skills for Success,https://www.aafp.org/fpm/2017/0500/p25.html,aafp,1496268000.0,digoxin,ACE,"METRICS Age range Measurement Source(s) HEDIS applies to Cardiovascular ≥ 18 years Annual monitoring for patients on persistent medications ( @entityb$ /ARBs, diuretics, @entitya$ ) ORDER a lab panel containing serum potassium and creatinine (e.g., BMP or CMP) annually for patients on @entityb$ /ARBs and/or diuretics.","[-0.31418514  0.2822033  -0.36110198 ... -0.10550755 -0.14934577
  0.5687922 ]",44
digoxin,ace,"The various types of drugs include ACE inhibitors, Antiarrhythmic, Angiotensin II receptor blockers, Calcium Channel blockers, Digoxin, Diuretics, Nitrates, etc.",True,67298439,Herbo-mineral formulation for the treatment of cardio vascular diseases and method of preparation thereof,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=1&f=G&l=50&d=PTXT&S1=10653741&OS=10653741&RS=10653741,patent_grant,1589846400.0,digoxin,ACE,"The various types of drugs include @entityb$ inhibitors, Antiarrhythmic, Angiotensin II receptor blockers, Calcium Channel blockers, @entitya$ , Diuretics, Nitrates, etc.","[-0.5264835  -0.20289658 -0.7001739  ...  0.39525363 -0.3567245
 -0.07651273]",44
trifluoperazine,tfp,Trifluoperazine (TFP) is an FDA-approved antipsychotic drug for schizophrenia.,True,16628280,"Trifluoperazine, a Well-Known Antipsychotic, Inhibits Glioblastoma Invasion by Binding to Calmodulin and Disinhibiting Calcium Release Channel IP3R.",https://www.ncbi.nlm.nih.gov/pubmed/28062709,pubmed,1506729600.0,trifluoperazine,TFP, @entitya$ ( @entityb$ ) is an FDA-approved antipsychotic drug for schizophrenia.,"[-0.46024734 -0.44465694 -0.75263214 ...  1.2033072  -0.21448068
 -0.22618976]",44
loxo_101,trk,"Upon administration, larotrectinib (NTRK1/2/3 inhibitor, LOXO-101) binds to Trk (tropomyosin receptor kinase), causing the prevention of the neurotrophin-Trk interaction and Trk activation, and consequently resulting in both the induction of cellular apoptosis and the inhibition of cell growth in tumors overexpressing Trk [ 16",True,52865957,Perspective Insight into Future Potential Fusion Gene Transcript Biomarker Candidates in Breast Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5855724/,pmc,1517961600.0,LOXO-101,TRK,"Upon administration, larotrectinib (NTRK1/2/3 inhibitor, @entitya$ ) binds to @entityb$ (tropomyosin receptor kinase), causing the prevention of the neurotrophin-Trk interaction and @entityb$ activation, and consequently resulting in both the induction of cellular apoptosis and the inhibition of cell growth in tumors overexpressing @entityb$ [ 16","[-0.06304859  0.02719302 -0.07493204 ...  0.2936914  -0.8186755
  0.8140773 ]",16
trifluoperazine,tfp,"There was little or no difference in the levels of serum glucose between the mice injected with calmodulin antagonist (trifluoperazine, TFP) plus endotoxin and those given endotoxin alone.",True,11530475,Calcium behavior in endotoxin-poisoned mice: especially calcium accumulation in mitochondria.,https://www.ncbi.nlm.nih.gov/pubmed/6381970,pubmed,454716000.0,trifluoperazine,TFP,"There was little or no difference in the levels of serum glucose between the mice injected with calmodulin antagonist ( @entitya$ , @entityb$ ) plus endotoxin and those given endotoxin alone.","[ 0.1990364  -0.13241325  0.03018958 ...  0.6103773  -0.5598252
  0.60191315]",16
oxaliplatin,oct2,"In another retrospective study, high expressions of OCT2 and OAT2 were identified in 60 and 36% of the cancer specimen of 90 patients with metastatic colorectal cancer treated with the combination 5-FU/leucovorin/oxaliplatin (FOLFOX).",True,81101387,"Uptake Transporters of the SLC21, SLC22A, and SLC15A Families in Anticancer Therapy—Modulators of Cellular Entry or Pharmacokinetics?",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7464370/,pmc,1597190400.0,oxaliplatin,OCT2,"In another retrospective study, high expressions of @entityb$ and OAT2 were identified in 60 and 36% of the cancer specimen of 90 patients with metastatic colorectal cancer treated with the combination 5-FU/leucovorin/ @entitya$ (FOLFOX).","[ 0.05680796 -0.24264786 -0.15358727 ... -0.04339149  0.1028807
  0.5553327 ]",16
digoxin,ace,"The patient was started on intravenous furosemide, orally loaded with digoxin and angiotensin‐converting enzyme (ACE) inhibitors, along with intravenous heparin.",True,92872246,"Hyperthyroidism: a ""curable"" cause of congestive heart failure--three case reports and a review of the literature.",https://www.ncbi.nlm.nih.gov/pubmed/12556677,pubmed,1054245600.0,digoxin,ACE,"The patient was started on intravenous furosemide, orally loaded with @entitya$ and angiotensin‐converting enzyme ( @entityb$ ) inhibitors, along with intravenous heparin.","[-0.18575905  0.33423653  0.11548633 ... -0.13256238 -0.8238769
  0.6441722 ]",40
digoxin,ace,"Therefore, it is recommended that potentially nephrotoxic and renally excreted drugs (ACE inhibitors, angiotensin‐receptor blockers, aldosterone inhibitors, renin inhibitors, diuretics, NSAIDs, metformin, lithium, digoxin) should be discontinued at least temporarily during acute illness, for example serious infection, vomiting,",True,102463695,How to assess kidney function in outpatient clinics.,https://www.ncbi.nlm.nih.gov/pubmed/25521214,pubmed,1425078000.0,digoxin,ACE,"Therefore, it is recommended that potentially nephrotoxic and renally excreted drugs ( @entityb$ inhibitors, angiotensin‐receptor blockers, aldosterone inhibitors, renin inhibitors, diuretics, NSAIDs, metformin, lithium, @entitya$ ) should be discontinued at least temporarily during acute illness, for example serious infection, vomiting,","[-0.46405867 -0.06156826 -0.11530364 ...  0.5040765  -0.8957052
 -0.13590464]",40
loxo_101,trk,"In fact, treatment with the TRK inhibitor LOXO-101 (larotrectinib) resulted in promising responses by STS patients with TRK fusion [ 101 , 102 ].",True,108165349,Current Molecular Targeted Therapies for Bone and Soft Tissue Sarcomas,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5877600/,pmc,1520208000.0,LOXO-101,TRK,"In fact, treatment with the @entityb$ inhibitor @entitya$ (larotrectinib) resulted in promising responses by STS patients with @entityb$ fusion [ 101 , 102 ].","[-0.30906582 -0.7627612   0.0132547  ... -0.15397729  0.4463793
  0.3989065 ]",0
loxo_101,trk,"For example, for LOXO-101, we are working with collaborators to develop an appropriate companion diagnostic to identify patients with tumors that harbor TRK fusions.",True,69079948,"Loxo Oncology, Inc. | 10-Q | 2016-08-03",https://www.sec.gov/Archives/edgar/data/0001581720/0001104659-16-136570.txt,secgov,1470182400.0,LOXO-101,TRK,"For example, for @entitya$ , we are working with collaborators to develop an appropriate companion diagnostic to identify patients with tumors that harbor @entityb$ fusions.","[-0.44838327 -1.5280049  -0.51375175 ...  0.20031378  0.7775524
  0.7381705 ]",20
loxo_101,trk,"clinical pipeline to include LOXO-292, our highly selective RET inhibitor, and LOXO-195, our next-generation TRK inhibitor intended to address acquired resistance. Recent Highlights · Larotrectinib (LOXO-101) Regulatory Update and Completion of Clinical Trial Enrollment for NDA Primary Efficacy Analysis:",True,10941105,"Loxo Oncology, Inc. | 8-K | 2017-03-07",https://www.sec.gov/Archives/edgar/data/0001581720/0001104659-17-014570.txt,secgov,1488844800.0,LOXO-101,TRK,"clinical pipeline to include LOXO-292, our highly selective RET inhibitor, and LOXO-195, our next-generation @entityb$ inhibitor intended to address acquired resistance. Recent Highlights · Larotrectinib ( @entitya$ ) Regulatory Update and Completion of Clinical Trial Enrollment for NDA Primary Efficacy Analysis:","[-0.4866363   0.18157166 -0.6830633  ...  0.5501926  -0.35961366
  1.1387343 ]",20
tesamorelin,growth hormone releasing factor,"axis drugs investigated for the treatment of HIV‐associated lipodystrophy include recombinant growth hormone (GH), growth hormone releasing hormone (GHRH), tesamorelin, also known as growth hormone releasing factor (GHRF), and insulin‐like growth factor‐1 (IGF‐1).",True,17733900,Growth hormone axis treatments for HIV-associated lipodystrophy: a systematic review of placebo-controlled trials.,https://www.ncbi.nlm.nih.gov/pubmed/21265979,pubmed,1317333600.0,Tesamorelin,Growth Hormone-Releasing Factor,"axis drugs investigated for the treatment of HIV‐associated lipodystrophy include recombinant growth hormone (GH), growth hormone releasing hormone (GHRH), @entitya$ , also known as @entityb$ (GHRF), and insulin‐like growth factor‐1 (IGF‐1).","[ 0.51647085 -0.23334605 -0.6045538  ...  0.483656    0.32971674
  0.7208579 ]",20
trifluoperazine,tfp,"The calmodulin (CaM) inhibitor trifluoperazine (TFP) can produce analgesia when given intrathecally to rats; however, the mechanism is not known.",True,37526266,Inhibition of Nav1.7 and Nav1.4 sodium channels by trifluoperazine involves the local anesthetic receptor.,https://www.ncbi.nlm.nih.gov/pubmed/16807347,pubmed,1162162800.0,trifluoperazine,TFP,"The calmodulin (CaM) inhibitor @entitya$ ( @entityb$ ) can produce analgesia when given intrathecally to rats; however, the mechanism is not known.","[ 0.35089415 -0.3495557  -0.14303328 ...  0.3559368  -0.8019097
  0.42232308]",7
digoxin,ace,"is selected from the group consisting of an anti-inflammatory agent, an immunosuppressive agent, an anti-diabetic agent, digoxin, a vasodilator, an angiotensin II converting enzyme (ACE) inhibitors, an angiotensin II receptor blockers (ARB), a calcium channel blocker, an isosorbide dinitrate, a hydralazine,",True,74088534,Identification of novel anti-fibrotic peptide in C-terminal region of the MET receptor tyrosine kinase,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=1&f=G&l=50&d=PTXT&S1=10344071&OS=10344071&RS=10344071,patent_grant,1562630400.0,digoxin,ACE,"is selected from the group consisting of an anti-inflammatory agent, an immunosuppressive agent, an anti-diabetic agent, @entitya$ , a vasodilator, an angiotensin II converting enzyme ( @entityb$ ) inhibitors, an angiotensin II receptor blockers (ARB), a calcium channel blocker, an isosorbide dinitrate, a hydralazine,","[-0.90675056 -0.1195827  -0.16987655 ...  0.5688513  -0.76924366
  0.14706758]",30
digoxin,ace,"the art and include, but are not limited to the use of angiotensin-converting enzyme (ACE) inhibitors, angiotensin II receptor blockers, beta blockers, diuretics, aldosterone antagonists, digoxin (Lanoxin), blood thinning medications, biventricular pacemakers, implantable cardioverter-defibrillators (ICDs), heart pumps (left ventricular assist devices,",True,1276156,Structural mutations in titin cause dilated cardiomyopathy,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=1&f=G&l=50&d=PTXT&S1=09476097&OS=09476097&RS=09476097,patent_grant,1477353600.0,digoxin,ACE,"the art and include, but are not limited to the use of angiotensin-converting enzyme ( @entityb$ ) inhibitors, angiotensin II receptor blockers, beta blockers, diuretics, aldosterone antagonists, @entitya$ (Lanoxin), blood thinning medications, biventricular pacemakers, implantable cardioverter-defibrillators (ICDs), heart pumps (left ventricular assist devices,","[-0.2725047   0.20415993 -0.29688436 ...  0.43259045 -0.14163566
 -0.09581061]",30
oxaliplatin,oct2,"Previous reports have demonstrated that the organic cation transporter 2 (OCT2, encoded by SLC22A2 ) mediates the intracellular accumulation of both cisplatin and oxaliplatin in mice, rats, and humans ( 7 – 10 ), and several other cationic-type",True,106502239,Neuronal uptake transporters contribute to oxaliplatin neurotoxicity in mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7456253/,pmc,1595808000.0,oxaliplatin,OCT2,"Previous reports have demonstrated that the organic cation transporter 2 ( @entityb$ , encoded by SLC22A2 ) mediates the intracellular accumulation of both cisplatin and @entitya$ in mice, rats, and humans ( 7 – 10 ), and several other cationic-type","[-0.06083235 -0.5607617  -0.47384173 ... -0.09450112 -0.10000736
  0.8064386 ]",27
digoxin,ace,"psychological disorder preventing patient education and follow -up Optimize HF therapy (including use and dose of ACE inhibitors or alternatives, avoiding digoxin toxicity, avoiding contraindicated drugs or drug interactions, recommending other medication changes)",True,72082284,None,https://www.hsrd.research.va.gov/publications/esp/PharmacistCare.pdf,hsrd_research_va,,digoxin,ACE,"psychological disorder preventing patient education and follow -up Optimize HF therapy (including use and dose of @entityb$ inhibitors or alternatives, avoiding @entitya$ toxicity, avoiding contraindicated drugs or drug interactions, recommending other medication changes)","[-0.06237763 -0.67318356  0.03734342 ...  0.53718716  0.23354875
 -0.05365279]",27
digoxin,ace,"Of the patients with UVH, eight with dominant RV were receiving ACE inhibitors, whereas six of those with a dominant LV were receiving ACE inhibitors and two were receiving digoxin.",True,65268708,Non-invasive assessment of ventricular force–frequency relations in the univentricular circulation by tissue Doppler echocardiography: a novel method of assessing myocardial performance in congenital heart disease,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1769147/,pmc,1128124800.0,digoxin,ACE,"Of the patients with UVH, eight with dominant RV were receiving @entityb$ inhibitors, whereas six of those with a dominant LV were receiving @entityb$ inhibitors and two were receiving @entitya$ .","[-0.7803212  -0.12059631 -0.6290554  ... -0.18125165  0.48685262
  0.2638829 ]",6
loxo_101,trk,"&nbsp; Milestones &nbsp; With respect to product candidates directed to TRK, including LOXO-101 and its back-up compounds, the Company could be required to pay Array up to $222&nbsp;million in milestone payments, the",True,84319888,"Loxo Oncology, Inc. | 10-Q | 2015-08-05",https://www.sec.gov/Archives/edgar/data/0001581720/0001104659-15-056524.txt,secgov,1438732800.0,LOXO-101,TRK,"&nbsp; Milestones &nbsp; With respect to product candidates directed to @entityb$ , including @entitya$ and its back-up compounds, the Company could be required to pay Array up to $222&nbsp;million in milestone payments, the","[ 0.04663933  0.8228195  -0.49389276 ... -0.19053271  0.31212738
  0.36110175]",6
digoxin,ace,"(A), or 4) 90 mg of (A) • All patients continued to receive conventional therapy which may include diuretics, digoxin, ACE inhibitors, hydralazine, nitrates, beta blockers Subject Population: • Patients hospitalized for worsening heart failure • NYHA class III-IV • Male",True,46700513,METHOD FOR TREATING SEVERE HEART FAILURE AND MEDICAMENT THEREFOR,https://data.epo.org/publication-server/rest/v1.2/patents/EP1596868NWB1/document.html,epo,1224626400.0,digoxin,ACE,"(A), or 4) 90 mg of (A) • All patients continued to receive conventional therapy which may include diuretics, @entitya$ , @entityb$ inhibitors, hydralazine, nitrates, beta blockers Subject Population: • Patients hospitalized for worsening heart failure • NYHA class III-IV • Male","[ 0.31856823  0.0312728   0.704837   ... -0.55244786  0.27041095
 -0.17491022]",6
digoxin,ace,"fibroblast growth factors, estrogen including estradiol (E2), estriol (E3) and 17-beta estradiol; drugs for heart failure, such as digoxin, beta-blockers, angiotensin-converting enzyme (ACE) inhibitors including captopril and enalopril, statins and related compounds; and macrolides such as sirolimus, everolimus or zotarolimus.",True,84821871,Coatings for Medical Devices Comprising a Therapeutic Agent and a Metallic Material,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220120323308%22.PGNR.&OS=DN/20120323308&RS=DN/20120323308,patent_filed,1355961600.0,digoxin,ACE,"fibroblast growth factors, estrogen including estradiol (E2), estriol (E3) and 17-beta estradiol; drugs for heart failure, such as @entitya$ , beta-blockers, angiotensin-converting enzyme ( @entityb$ ) inhibitors including captopril and enalopril, statins and related compounds; and macrolides such as sirolimus, everolimus or zotarolimus.","[ 0.41734946 -0.26646966 -0.28258586 ...  0.6784775  -0.03003223
  0.3553519 ]",3
